timestamp,open,high,low,close,volume,rsi
2024-11-06T00:00:00.000Z,69353.1,71430,69272.7,71058.6,41509.516,
2024-11-06T01:00:00.000Z,71058.6,71385.2,70570.2,71089.5,31017.764,
2024-11-06T02:00:00.000Z,71089.5,73344,70903.4,73078.9,54722.856,
2024-11-06T03:00:00.000Z,73079,75656.1,73052.4,74367.1,93012.485,
2024-11-06T04:00:00.000Z,74367.1,74990,73914.6,74276.3,37097.124,
2024-11-06T05:00:00.000Z,74276.3,74878.6,73649,74781.4,30351.572,
2024-11-06T06:00:00.000Z,74781.5,75486.4,74219.6,74288.1,45720.636,
2024-11-06T07:00:00.000Z,74288.1,74687.5,73112,73435.9,37666.034,
2024-11-06T08:00:00.000Z,73435.8,73606,72721.5,73482.5,32316.235,
2024-11-06T09:00:00.000Z,73482.4,74130.9,73480,73800,16315.394,
2024-11-06T10:00:00.000Z,73800.1,73977.8,73289.1,73859.9,14989.357,
2024-11-06T11:00:00.000Z,73859.9,74488.1,73675.9,74291.6,16712.068,
2024-11-06T12:00:00.000Z,74291.7,74801.1,74170.1,74187.9,16452.049,
2024-11-06T13:00:00.000Z,74188,74290.4,73600,74000,17395.137,
2024-11-06T14:00:00.000Z,74000.1,74739.5,73500,73654,36451.306,69.24
2024-11-06T15:00:00.000Z,73655.3,74514,73519,74289.6,27959.897,72.08
2024-11-06T16:00:00.000Z,74289.7,74589,74134.5,74334.7,14429.963,72.27
2024-11-06T17:00:00.000Z,74334.4,74677.5,74150.4,74457.9,12838.454,72.83
2024-11-06T18:00:00.000Z,74458,75250,74406.5,75237.5,18808.385,76.11
2024-11-06T19:00:00.000Z,75237.4,75896.5,75046.1,75817.9,26204.246,78.22
2024-11-06T20:00:00.000Z,75817.9,76420,75500,76104.6,28188.457,79.20
2024-11-06T21:00:00.000Z,76104.6,76174.5,75647.2,75886,12814.527,76.39
2024-11-06T22:00:00.000Z,75886.1,76031,75526.6,75635.8,8227.852,73.18
2024-11-06T23:00:00.000Z,75635.8,75836.7,75552.5,75579.9,6238.972,72.45
2024-11-07T00:00:00.000Z,75579.9,75656.7,75051,75361.6,10637.009,69.53
2024-11-07T01:00:00.000Z,75361.6,76072.5,75215.1,75395.2,17138.878,69.73
2024-11-07T02:00:00.000Z,75395.2,75475,75150,75291,6965.614,68.22
2024-11-07T03:00:00.000Z,75291.1,75424.1,75000,75062.9,7647.767,64.90
2024-11-07T04:00:00.000Z,75062.8,75083,74650,74766.6,10441.129,60.76
2024-11-07T05:00:00.000Z,74766.6,74940,74715,74793.2,4924.757,61.00
2024-11-07T06:00:00.000Z,74793.3,74900.9,74450,74815.4,12117.527,61.22
2024-11-07T07:00:00.000Z,74815.5,75004.8,74721.9,74800,5657.049,60.97
2024-11-07T08:00:00.000Z,74800,75193.4,74719.3,75193.4,7915.692,64.90
2024-11-07T09:00:00.000Z,75193.3,75195,74835.5,74949,5538.578,60.80
2024-11-07T10:00:00.000Z,74949,75071.5,74784.8,75060.4,5387.441,61.98
2024-11-07T11:00:00.000Z,75060.3,75070.4,74722.4,74776.9,3799.428,57.26
